Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Cytosolic DNA-sensing pathway,-1.9748306731311092,0.06127659574468085,0.001,NFKBIA;POLR2K;CCL4L2,wald_stat,KEGG_2021_Human
Thermogenesis,-1.8064297916807257,0.10851063829787234,0.001,NDUFA6;COX17;UQCRFS1;ACTB;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;ACTG1;SMARCE1;COX6A1;NDUFB8;SMARCA2;ATP5PF;ATP5F1C;NDUFB11;COX7A2;COX8A;PRKAG1;COX4I1;ATP5F1D;COX6C;NDUFA13,wald_stat,KEGG_2021_Human
Cardiac muscle contraction,-1.7922341738909335,0.08,0.001,UQCRFS1;COX5B;UQCRC2;TPM3;COX6A1;COX7A2;COX8A;COX4I1;COX6C,wald_stat,KEGG_2021_Human
Oxidative phosphorylation,-1.7342682527528377,0.0797872340425532,0.001,NDUFA6;COX17;UQCRFS1;SDHC;NDUFS8;COX5B;UQCRC2;ATP6V0C;NDUFS6;TCIRG1;COX6A1;NDUFB8;ATP5PF;ATP5F1C;NDUFB11;COX7A2;COX8A;COX4I1;ATP5F1D;COX6C;NDUFA13,wald_stat,KEGG_2021_Human
Lysosome,-1.5369111627820584,0.18893617021276596,0.025806451612903226,CD63;M6PR;LAPTM4A;ATP6V0C;TCIRG1;CD164,wald_stat,KEGG_2021_Human
Huntington disease,-1.5214187089059723,0.17829787234042552,0.001,VDAC1;PSMB1;NDUFA6;CREBBP;UQCRFS1;VDAC2;POLR2J;SDHC;POLR2K;TUBB4B;NDUFS8;COX5B;UQCRC2;ADRM1;NDUFS6;PSMB4;AP2M1;COX6A1;PSMA1;NDUFB8;PSMD7;ATP5PF;ATP5F1C;NDUFB11;COX7A2;PSMA6;COX8A;PSMA3;COX4I1;POLR2G;ATP5F1D;COX6C;NDUFA13,wald_stat,KEGG_2021_Human
Parkinson disease,-1.4862706960924947,0.17908814589665653,0.001,VDAC1;PSMB1;NDUFA6;UQCRFS1;VDAC2;UBB;GNAI2;SDHC;TUBB4B;NDUFS8;COX5B;UQCRC2;ADRM1;NDUFS6;PSMB4;COX6A1;PSMA1;PARK7;NDUFB8;ATF4;PSMD7;ATP5PF;ATP5F1C;NDUFB11;COX7A2;PSMA6;COX8A;PSMA3;COX4I1;ATP5F1D;COX6C;NDUFA13;TXN,wald_stat,KEGG_2021_Human
Pertussis,-1.4456832931210823,0.19595744680851063,0.08552631578947369,ITGAM;GNAI2;CFL1;FOS;IRF1;RHOA;CALM3,wald_stat,KEGG_2021_Human
Amyotrophic lateral sclerosis,-1.422820969191949,0.1971631205673759,0.001,VDAC1;PSMB1;NDUFA6;SRSF3;UQCRFS1;ACTB;SDHC;TUBB4B;NDUFS8;GABARAPL2;COX5B;NXT1;UQCRC2;ADRM1;NDUFS6;PSMB4;ACTG1;PFN1;COX6A1;PSMA1;ATXN2L;NDUFB8;ATF4;PSMD7;ATP5PF;ATP5F1C;NDUFB11;COX7A2;PSMA6;COX8A,wald_stat,KEGG_2021_Human
Adherens junction,-1.417631121434641,0.1807659574468085,0.07741935483870968,CSNK2B;CREBBP;CDC42;ACTB;ACP1;ACTG1,wald_stat,KEGG_2021_Human
Non-alcoholic fatty liver disease,-1.4159470195651291,0.16665377176015475,0.001,NDUFA6;UQCRFS1;CDC42;SDHC;NDUFS8;COX5B;UQCRC2;NDUFS6;FOS;COX6A1;NDUFB8;ATF4;NDUFB11;COX7A2;COX8A;PRKAG1;COX4I1;COX6C;NDUFA13,wald_stat,KEGG_2021_Human
Retrograde endocannabinoid signaling,-1.3818749530914027,0.18617021276595744,0.058823529411764705,NDUFA6;GNAI2;GNB1;NDUFS8;NDUFS6;NDUFB8;GNB2;NDUFB11,wald_stat,KEGG_2021_Human
Neutrophil extracellular trap formation,-1.341794456483824,0.21309328968903438,0.06097560975609756,VDAC1;VDAC2;ITGAM;ACTB;HMGB1;H2AX;H2AZ1;ACTG1;H3-3A,wald_stat,KEGG_2021_Human
Diabetic cardiomyopathy,-1.3267592611179166,0.2119148936170213,0.13043478260869565,VDAC1;NDUFA6;UQCRFS1;VDAC2;SDHC;NDUFS8;GAPDH;COX5B;UQCRC2;NDUFS6;COX6A1;NDUFB8;ATP5PF;ATP5F1C;NDUFB11;COX7A2;COX8A;COX4I1;ATP5F1D;COX6C;NDUFA13,wald_stat,KEGG_2021_Human
Phagosome,-1.3152279195270504,0.21378723404255318,0.06896551724137931,ITGAM;ACTB;RAB5C;M6PR;TUBB4B;SEC61G;ATP6V0C;ACTG1;TCIRG1,wald_stat,KEGG_2021_Human
Vibrio cholerae infection,-1.290741097213873,0.22420212765957448,0.1317365269461078,ACTB;SEC61G;ATP6V0C;ACTG1;TCIRG1,wald_stat,KEGG_2021_Human
Bacterial invasion of epithelial cells,-1.261381216681264,0.2446558197747184,0.12096774193548387,ARPC3;CDC42;ACTB;ACTG1;ARPC1B;ARPC2;ARPC5L;RHOA,wald_stat,KEGG_2021_Human
